text;favorited;favoriteCount;replyToSN;created;truncated;replyToSID;id;replyToUID;statusSource;screenName;retweetCount;isRetweet;retweeted;longitude;latitude;Lang
"RT @Tayfeun: Présentation du package #rAmCharts pour ""tuner"" ses graphs #RR2016 #pimpmygraph #dataviz https://t.co/zXDzJszdPV";FALSE;0;NA;2016-06-24 17:20:21;FALSE;NA;7,46392532700045E+017;NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";ChrysGalissie;1;TRUE;FALSE;NA;NA;FR
RT @StatFr: Clôture des journées par la chef du comité organisation @Natty_V2. Rendez-vous à Anglet #RR2016 #rstats #RR2017 https://t.co/jf;FALSE;0;NA;2016-06-24 17:19:50;FALSE;NA;7,46392400831087E+017;NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";ChrysGalissie;5;TRUE;FALSE;NA;NA;FR
"RT @Lionning13: Relais ""lignting talk"" avec la nouvelle génération #RR2016 #rstats https://t.co/5nnF81QrKx";FALSE;0;NA;2016-06-24 16:53:56;FALSE;NA;7,46385883717341E+017;NA;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";Natty_V2;1;TRUE;FALSE;NA;NA;FR
RT @StatFr: Clôture des journées par la chef du comité organisation @Natty_V2. Rendez-vous à Anglet #RR2016 #rstats #RR2017 https://t.co/jf;FALSE;0;NA;2016-06-24 16:37:58;FALSE;NA;7,46381866400383E+017;NA;"<a href=""https://play.google.com/store/apps/details?id=org.mariotaku.twidere"" rel=""nofollow"">Twidere for Android #4</a>";geraudster;5;TRUE;FALSE;NA;NA;FR
RT @alykisdata: #RR2016 #rstats on arrive à la fin de trois journées enrichissantes autour de #R et de la #Stat... Bravo aux orgas! https:/;FALSE;0;NA;2016-06-24 16:33:58;FALSE;NA;7,46380859490591E+017;NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";andreamrau;2;TRUE;FALSE;NA;NA;FR
Encore merci aux organisateurs et speakers, c'était vraiment super ! :D #RR2016 #rstats https://t.co/vMyI5s12O5;FALSE;2;NA;2016-06-24 14:56:18;FALSE;NA;7,46356280139329E+017;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";alinedeschamps;0;FALSE;FALSE;NA;NA;FR
RT @alykisdata: #RR2016 #rstats on arrive à la fin de trois journées enrichissantes autour de #R et de la #Stat... Bravo aux orgas! https:/;FALSE;0;NA;2016-06-24 14:42:39;FALSE;NA;7,46352847156031E+017;NA;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";geraudster;2;TRUE;FALSE;NA;NA;FR
RT @StatFr: Clôture des journées par la chef du comité organisation @Natty_V2. Rendez-vous à Anglet #RR2016 #rstats #RR2017 https://t.co/jf;FALSE;0;NA;2016-06-24 14:31:24;FALSE;NA;7,4635001234339E+017;NA;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";thinkR_fr;5;TRUE;FALSE;NA;NA;FR
RT @StatFr: Clôture des journées par la chef du comité organisation @Natty_V2. Rendez-vous à Anglet #RR2016 #rstats #RR2017 https://t.co/jf;FALSE;0;NA;2016-06-24 14:15:42;FALSE;NA;7,46346062965776E+017;NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";GAYET_Anne;5;TRUE;FALSE;NA;NA;FR
RT @StatFr: Clôture des journées par la chef du comité organisation @Natty_V2. Rendez-vous à Anglet #RR2016 #rstats #RR2017 https://t.co/jf;FALSE;0;NA;2016-06-24 13:51:45;FALSE;NA;7,46340034802917E+017;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Imsepp972;5;TRUE;FALSE;NA;NA;FR
